コード,銘柄名,業種33,規模,候補
8093,極東貿易,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3388,明治電機工業,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7859,アルメディオ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
6485,前澤給装工業,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
8123,川辺,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8935,ＦＪネクストホールディングス,不動産業,TOPIX Small 2,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
6419,マースグループホールディングス,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
9425,ＲｅＹｕｕ　Ｊａｐａｎ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7896,セブン工業,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
6619,ダブル・スコープ,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6482,ＹＵＳＨＩＮ,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7820,ニホンフラッシュ,その他製品,TOPIX Small 2,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
1905,テノックス,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
6919,ケル,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
2999,ホームポジション,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
7565,萬世電機,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
2700,木徳神糧,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8150,三信電気,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3176,三洋貿易,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7677,ヤシマキザイ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8084,ＲＹＯＤＥＮ,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8844,コスモスイニシア,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
4119,日本ピグメントホールディングス,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
7602,レダックス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3321,ミタチ産業,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6165,パンチ工業,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
9820,エムティジェネックス,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
4308,Ｊストリーム,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6149,小田原エンジニアリング,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7681,レオクラン,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
1768,ソネック,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
7925,前澤化成工業,化学,TOPIX Small 2,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
6418,日本金銭機械,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6091,ウエスコホールディングス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
8045,横浜丸魚,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
548A,システムエグゼ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6118,アイダエンジニアリング,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6730,アクセル,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6245,ヒラノテクシード,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6858,小野測器,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
8103,明和産業,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7446,東北化学薬品,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3674,オークファン,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4301,アミューズ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7544,スリーエフ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4628,エスケー化研,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
9478,ＳＥホールディングス・アンド・インキュベーションズ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4996,クミアイ化学工業,化学,TOPIX Small 1,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
6365,電業社機械製作所,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
189A,Ｄ＆Ｍカンパニー,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2385,総医研ホールディングス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
9980,ＭＲＫホールディングス,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
6678,テクノメディカ,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6463,ＴＰＲ,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
9760,進学会ホールディングス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
1899,福田組,建設業,TOPIX Small 2,ゼネコン・総合建設 / 設備工事・専門工事
1724,シンクレイヤ,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
2329,東北新社,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
